adj-eng,adj-fre,adj-ger,adj-ita,adj-ned,adj-rus,adj-vie,adj-zho,noun-eng,noun-fre,noun-ger,noun-ita,noun-ned,noun-rus,noun-vie,noun-zho,phrase-eng,phrase-fre,phrase-ger,phrase-ita,phrase-ned,phrase-rus,phrase-vie,phrase-zho,phrase_complete-eng,phrase_complete-fre,phrase_complete-ger,phrase_complete-ita,phrase_complete-ned,phrase_complete-rus,phrase_complete-vie,phrase_complete-zho,phrase_prefix-eng,phrase_prefix-fre,phrase_prefix-ger,phrase_prefix-ita,phrase_prefix-ned,phrase_prefix-rus,phrase_prefix-vie,phrase_prefix-zho
thin,fine,dünnen,sottile,dunne,тонкий,mỏng,细长,rod,tige,Stab,asta,staaf,стержень,que,杆,thin rod,tige fine,dünnen Stab,asta sottile,dunne staaf,тонкий стержень,que mỏng,细长杆,I saw the thin rod,J'ai vu la tige fine,Ich sah den dünnen Stab,Ho visto l'asta sottile,Ik zag de dunne staaf,Я увидел тонкий стержень,Tôi đã thấy cái que mỏng,我看見了细长杆,I saw the,J'ai vu la,Ich sah den,Ho visto l',Ik zag de,Я увидел,Tôi đã thấy cái,我看見了
tiled,carrelé,ziegelgedeckte,di,pannen,черепичную,lợp ngói,瓦片,roof,toit,Dach,tetto,dak,крышу,mái,屋顶,tiled roof,toit carrelé,ziegelgedeckte Dach,tetto di tegole,pannen dak,черепичная крыша,mái lợp ngói,瓦片屋顶,I saw the tiled roof,J'ai vu le toit carrelé,Ich sah das ziegelgedeckte Dach,Ho visto il tetto di tegole,Ik zag het pannen dak,Я увидел черепичную крышу,Tôi đã thấy mái lợp ngói,我看見了瓦片屋顶,I saw the,J'ai vu le,Ich sah das,Ho visto il,Ik zag het,Я увидел,Tôi đã thấy,我看見了
deep,profonde,tiefe,profonda,diepe,глубокий,sâu,深植,root,racine,Wurzel,radice,wortel,корень,rễ,根,deep root,racine profonde,tiefe Wurzel,radice profonda,diepe wortel,глубокий корень,rễ sâu,深植根,I saw the deep root,J'ai vu la racine profonde,Ich sah die tiefe Wurzel,Ho visto la radice profonda,Ik zag de diepe wortel,Я увидел глубокий корень,Tôi đã thấy rễ sâu,我看見了深植根,I saw the,J'ai vu la,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy,我看見了
white,blanche,weiße,bianca,witte,белый,trắng,白,sail,voile,Segel,vela,zeil,парус,cánh buồm,帆,white sail,voile blanche,weiße Segel,vela bianca,witte zeil,белый парус,cánh buồm trắng,白帆,I saw the white sail,J'ai vu la voile blanche,Ich sah das weiße Segel,Ho visto la vela bianca,Ik zag het witte zeil,Я увидел белый парус,Tôi đã thấy cánh buồm trắng,我看見了白帆,I saw the,J'ai vu la,Ich sah das,Ho visto la,Ik zag het,Я увидел,Tôi đã thấy,我看見了
important,école,große,importante,belangrijke,большую,quan trọng,重要,school,grande,Schule,scuola,school,школу,trường học,學校,important school,école importante,große Schule,scuola importante,belangrijke school,большая школа,trường học quan trọng,重要學校,I saw the important school,J'ai vu l'école importante,Ich sah die große Schule,Ho visto la scuola importante,Ik zag de belangrijke school,Я увидел большую школу,Tôi đã thấy trường học quan trọng,我看見了重要學校,I saw the,J'ai vu l',Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy,我看見了
sharp,acérés,scharfe,affilate,scherpe,острые,sắc,鋒利的,scissors,ciseaux,Schere,forbici,schaar,ножницы,kéo,剪刀,sharp scissors,ciseaux acérés,scharfe Schere,forbici affilate,scherpe schaar,острые ножницы,kéo sắc,鋒利的剪刀,I saw the sharp scissors,J'ai vu les ciseaux acérés,Ich sah die scharfe Schere,Ho visto i forbici affilate,Ik zag de scherpe schaar,Я увидел острые ножницы,Tôi đã thấy cái kéo sắc,我看見了鋒利的剪刀,I saw the,J'ai vu les,Ich sah die,Ho visto i,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了
loose,desserrée,lose,allentata,losse,ослабленный,lỏng,松动的,screw,vis,Schraube,vite,schroef,винт,ốc vít,螺丝,loose screw,vis desserrée,lose Schraube,vite allentata,losse schroef,ослабленный винт,ốc vít lỏng,松动的螺丝,I saw the loose screw,J'ai vu la vis desserrée,Ich sah die lose Schraube,Ho visto la vite allentata,Ik zag de losse schroef,Я увидел ослабленный винт,Tôi đã thấy cái ốc vít lỏng,我看見了松动的螺丝,I saw the,J'ai vu la,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了
green,verte,grünen,verde,groene,зелёное,xanh,绿色的,seed,graine,Samen,seme,zaadje,семя,hạt giống,种子,green seed,graine verte,grünen Samen,seme verde,groene zaadje,зеленое семя,hạt giống xanh,绿色的种子,I saw the green seed,J'ai vu la graine verte,Ich sah den grünen Samen,Ho visto il seme verde,Ik zag het groene zaadje,Я увидел зелёное семя,Tôi đã thấy hạt giống xanh,我看見了绿色的种子,I saw the,J'ai vu la,Ich sah den,Ho visto il,Ik zag het,Я увидел,Tôi đã thấy,我看見了
white,blanc,weiße,bianca,witte,белую,trắng,白色的,sheep,mouton,Schaf,pecora,schaap,овцу,cừu,绵羊,white sheep,mouton blanc,weiße Schaf,pecora bianca,witte schaap,белая овца,cừu trắng,白色的绵羊,I saw the white sheep,J'ai vu le mouton blanc,Ich sah das weiße Schaf,Ho visto la pecora bianca,Ik zag het witte schaap,Я увидел белую овцу,Tôi đã thấy con cừu trắng,我看見了白色的绵羊,I saw the,J'ai vu le,Ich sah das,Ho visto la,Ik zag het,Я увидел,Tôi đã thấy con,我看見了
high,haute,hohe,alto,hoge,высокую,cao,高高的,shelf,étagère,Regal,ripiano,plank,полку,kệ,架子,high shelf,étagère haute,hohe Regal,ripiano alto,hoge plank,высокая полка,kệ cao,高高的架子,I saw the high shelf,J'ai vu l'étagère haute,Ich sah das hohe Regal,Ho visto il ripiano alto,Ik zag de hoge plank,Я увидел высокую полку,Tôi đã thấy cái kệ cao,我看見了高高的架子,I saw the,J'ai vu l',Ich sah das,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了
wooden,en bois,hölzerne,di,houten,деревянный,gỗ,木头做的,ship,bateau,Schiff,nave,schip,корабль,tàu,船,wooden ship,bateau en bois,hölzerne Schiff,nave di legno,houten schip,деревянный корабль,tàu gỗ,木头做的船,I saw the wooden ship,J'ai vu le bateau en bois,Ich sah das hölzerne Schiff,Ho visto la nave di legno,Ik zag het houten schip,Я увидел деревянный корабль,Tôi đã thấy con tàu gỗ,我看見了木头做的船,I saw the,J'ai vu le,Ich sah das,Ho visto la,Ik zag het,Я увидел,Tôi đã thấy con,我看見了
clean,propre,saubere,pulita,schone,чистую,sạch,干净的,shirt,chemise,Hemd,camicia,shirt,рубашку,áo sơ mi,衬衫,clean shirt,chemise propre,saubere Hemd,camicia pulita,schone shirt,чистая рубашка,áo sơ mi sạch,干净的衬衫,I saw the clean shirt,J'ai vu la chemise propre,Ich sah das saubere Hemd,Ho visto la camicia pulita,Ik zag het schone shirt,Я увидел чистую рубашку,Tôi đã thấy cái áo sơ mi sạch,我看見了干净的衬衫,I saw the,J'ai vu la,Ich sah das,Ho visto la,Ik zag het,Я увидел,Tôi đã thấy cái,我看見了
worn,usée,abgetragenen,consumata,versleten,изношенную,cũ,穿旧的,shoe,chaussure,Schuh,scarpa,schoen,обувь,giày,鞋子,worn shoe,chaussure usée,abgetragenen Schuh,scarpa consumata,versleten schoen,изношенная обувь,giày cũ,穿旧的鞋子,I saw the worn shoe,J'ai vu la chaussure usée,Ich sah den abgetragenen Schuh,Ho visto la scarpa consumata,Ik zag de versleten schoen,Я увидел изношенную обувь,Tôi đã thấy đôi giày cũ,我看見了穿旧的鞋子,I saw the,J'ai vu la,Ich sah den,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy đôi,我看見了
smooth,lisse,glatte,liscia,gladde,гладкую,mịn,光滑的,skin,peau,Haut,pelle,huid,кожу,da,皮肤,smooth skin,peau lisse,glatte Haut,pelle liscia,gladde huid,гладкая кожа,da mịn,光滑的皮肤,I saw the smooth skin,J'ai vu la peau lisse,Ich sah die glatte Haut,Ho visto la pelle liscia,Ik zag de gladde huid,Я увидел гладкую кожу,Tôi đã thấy làn da mịn,我看見了光滑的皮肤,I saw the,J'ai vu la,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy làn,我看見了
short,courte,kurzen,corta,korte,короткую,ngắn,短,skirt,jupe,Rock,gonna,rok,юбку,váy,裙,short skirt,jupe courte,kurzen Rock,gonna corta,korte rok,короткая юбка,váy ngắn,短裙,I saw the short skirt,J'ai vu la jupe courte,Ich sah den kurzen Rock,Ho visto la gonna corta,Ik zag de korte rok,Я увидел короткую юбку,Tôi đã thấy chiếc váy ngắn,我看見了短裙,I saw the,J'ai vu la,Ich sah den,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy chiếc,我看見了
poisonous,venimeux,giftige,velenoso,giftige,ядовитую,độc,毒,snake,serpent,Schlange,serpente,slang,змею,rắn,蛇,poisonous snake,serpent venimeux,giftige Schlange,serpente velenoso,giftige slang,ядовитая змея,rắn độc,毒蛇,I saw the poisonous snake,J'ai vu le serpent venimeux,Ich sah die giftige Schlange,Ho visto il serpente velenoso,Ik zag de giftige slang,Я увидел ядовитую змею,Tôi đã thấy con rắn độc,我看見了毒蛇,I saw the,J'ai vu le,Ich sah die,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy con,我看見了
dirty,sale,schmutzige,sporco,vuile,грязный,bẩn,髒,sock,chaussette,Socke,calzino,sok,носки,vớ,襪子,dirty sock,chaussette sale,schmutzige Socke,calzino sporco,vuile sok,грязный носок,vớ bẩn,髒襪子,I saw the dirty sock,J'ai vu la chaussette sale,Ich sah die schmutzige Socke,Ho visto il calzino sporco,Ik zag de vuile sok,Я увидел грязный носки,Tôi đã thấy đôi vớ bẩn,我看見了髒襪子,I saw the,J'ai vu la,Ich sah die,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy đôi,我看見了
metal,en métal,metallene,di,metalen,металлическую,kim loại,金属,spade,bêche,Schaufel,vanga,spade,лопату,xẻng,铲,metal spade,bêche en métal,metallene Schaufel,vanga di metallo,metalen spade,металлическая лопата,xẻng kim loại,金属铲,I saw the metal spade,J'ai vu la bêche en métal,Ich sah die metallene Schaufel,Ho visto la vanga di metallo,Ik zag de metalen spade,Я увидел металлическую лопату,Tôi đã thấy cái xẻng kim loại,我看見了金属铲,I saw the,J'ai vu la,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了
wet,humide,feuchten,bagnata,natte,мокрую,ướt,湿,sponge,éponge,Schwamm,spugna,spons,губку,bọt biển,海绵,wet sponge,éponge humide,feuchten Schwamm,spugna bagnata,natte spons,мокрая губка,bọt biển ướt,湿海绵,I saw the wet sponge,J'ai vu l'éponge humide,Ich sah den feuchten Schwamm,Ho visto la spugna bagnata,Ik zag de natte spons,Я увидел мокрую губку,Tôi đã thấy miếng bọt biển ướt,我看見了湿海绵,I saw the,J'ai vu l',Ich sah den,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy miếng,我看見了
silver,en argent,silbernen,d,zilveren,серебряную,bạc,银,spoon,cuillère,Löffel,cucchiaio,lepel,ложку,thìa,勺,silver spoon,cuillère en argent,silbernen Löffel,cucchiaio d'argento,zilveren lepel,серебряная ложка,thìa bạc,银勺,I saw the silver spoon,J'ai vu la cuillère en argent,Ich sah den silbernen Löffel,Ho visto il cucchiaio d'argento,Ik zag de zilveren lepel,Я увидел серебряную ложку,Tôi đã thấy cái thìa bạc,我看見了银勺,I saw the,J'ai vu la,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了
warm,chaud,warme,calda,warme,тёплый,ấm áp,暖,spring,printemps,Quelle,primavera,bron,источник,mùa xuân,春,warm spring,printemps chaud,warme Quelle,primavera calda,warme bron,теплый источник,mùa xuân ấm áp,暖春,I saw the warm spring,J'ai vu le printemps chaud,Ich sah die warme Quelle,Ho visto la primavera calda,Ik zag de warme bron,Я увидел тёплый источник,Tôi đã thấy mùa xuân ấm áp,我看見了暖春,I saw the,J'ai vu le,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy,我看見了
central,centrale,zentralen,centrale,centrale,центральную,trung tâm,中央,square,place,Platz,piazza,plein,площадь,quảng trường,廣場,central square,place centrale,zentralen Platz,piazza centrale,centrale plein,центральная площадь,quảng trường trung tâm,中央廣場,I saw the central square,J'ai vu la place centrale,Ich sah den zentralen Platz,Ho visto la piazza centrale,Ik zag het centrale plein,Я увидел центральную площадь,Tôi đã thấy quảng trường trung tâm,我看見了中央廣場,I saw the,J'ai vu la,Ich sah den,Ho visto la,Ik zag het,Я увидел,Tôi đã thấy,我看見了
used,utilisé,gebrauchte,usato,gebruikte,использованную,đã sử dụng,用过的,stamp,timbre,Briefmarke,francobollo,postzegel,марка,tem,邮票,used stamp,timbre utilisé,gebrauchte Briefmarke,francobollo usato,gebruikte postzegel,использованная марка,tem đã sử dụng,用过的邮票,I saw the used stamp,J'ai vu le timbre utilisé,Ich sah die gebrauchte Briefmarke,Ho visto il francobollo usato,Ik zag de gebruikte postzegel,Я увидел использованную марка,Tôi đã thấy con tem đã sử dụng,我看見了用过的邮票,I saw the,J'ai vu le,Ich sah die,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy con,我看見了
bright,brillante,hellen,luminosa,heldere,яркую,sáng,明亮的,star,étoile,Stern,stella,ster,звезду,ngôi sao,星,bright star,étoile brillante,hellen Stern,stella luminosa,heldere ster,яркая звезда,ngôi sao sáng,明亮的星,I saw the bright star,J'ai vu l'étoile brillante,Ich sah den hellen Stern,Ho visto la stella luminosa,Ik zag de heldere ster,Я увидел яркую звезду,Tôi đã thấy ngôi sao sáng,我看見了明亮的星,I saw the,J'ai vu l',Ich sah den,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy,我看見了
busy,occupée,belebten,affollata,drukke,оживлённую,nhộn nhịp,繁忙的,station,gare,Bahnhof,stazione,station,станцию,ga xe buýt,车站,busy station,gare occupée,belebten Bahnhof,stazione affollata,drukke station,оживленная станция,ga xe buýt nhộn nhịp,繁忙的车站,I saw the busy station,J'ai vu la gare occupée,Ich sah den belebten Bahnhof,Ho visto la stazione affollata,Ik zag het drukke station,Я увидел оживлённую станцию,Tôi đã thấy ga xe buýt nhộn nhịp,我看見了繁忙的车站,I saw the,J'ai vu la,Ich sah den,Ho visto la,Ik zag het,Я увидел,Tôi đã thấy,我看見了
green,verte,grünen,verde,groene,зелёный,xanh,绿色的,stem,tige,Stiel,gambo,stengel,стебель,cành,茎,green stem,tige verte,grünen Stiel,gambo verde,groene stengel,зеленый стебель,cành xanh,绿色的茎,I saw the green stem,J'ai vu la tige verte,Ich sah den grünen Stiel,Ho visto il gambo verde,Ik zag de groene stengel,Я увидел зелёный стебель,Tôi đã thấy cành xanh,我看見了绿色的茎,I saw the,J'ai vu la,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy,我看見了
dry,sec,trockenen,secco,droge,сухую,khô,乾枯的,stick,bâton,Stock,bastone,stok,палку,cây,樹枝,dry stick,bâton sec,trockenen Stock,bastone secco,droge stok,сухая палка,cây khô,乾枯的樹枝,I saw the dry stick,J'ai vu le bâton sec,Ich sah den trockenen Stock,Ho visto il bastone secco,Ik zag de droge stok,Я увидел сухую палку,Tôi đã thấy cây khô,我看見了乾枯的樹枝,I saw the,J'ai vu le,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy,我看見了
black,noir,schwarzen,nera,zwarte,чёрный,đen,黑,stocking,bas,Strumpf,calza,kous,чулки,vớ,丝袜,black stocking,bas noir,schwarzen Strumpf,calza nera,zwarte kous,черный чулок,vớ đen,黑丝袜,I saw the black stocking,J'ai vu le bas noir,Ich sah den schwarzen Strumpf,Ho visto la calza nera,Ik zag de zwarte kous,Я увидел чёрный чулки,Tôi đã thấy đôi vớ đen,我看見了黑丝袜,I saw the,J'ai vu le,Ich sah den,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy đôi,我看見了
local,local,lokalen,locale,plaatselijke,местный,địa phương,本地,store,magasin,Laden,negozio,winkel,магазин,cửa hàng,商店,local store,magasin local,lokalen Laden,negozio locale,plaatselijke winkel,местный магазин,cửa hàng địa phương,本地商店,I saw the local store,J'ai vu le magasin local,Ich sah den lokalen Laden,Ho visto il negozio locale,Ik zag de plaatselijke winkel,Я увидел местный магазин,Tôi đã thấy cửa hàng địa phương,我看見了本地商店,I saw the,J'ai vu le,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy,我看見了
quiet,tranquille,ruhige,tranquilla,rustige,тихую,yên tĩnh,寧靜的,street,rue,Straße,strada,straat,улицу,đường,街道,quiet street,rue tranquille,ruhige Straße,strada tranquilla,rustige straat,тихая улица,đường yên tĩnh,寧靜的街道,I saw the quiet street,J'ai vu la rue tranquille,Ich sah die ruhige Straße,Ho visto la strada tranquilla,Ik zag de rustige straat,Я увидел тихую улицу,Tôi đã thấy con đường yên tĩnh,我看見了寧靜的街道,I saw the,J'ai vu la,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy con,我看見了
hot,chaud,heiße,caldo,hete,жаркое,chói chang,烈,sun,soleil,Sonne,sole,zon,солнце,mặt trời,太阳,hot sun,soleil chaud,heiße Sonne,sole caldo,hete zon,жаркое солнце,Mặt trời chói chang,烈太阳,I saw the hot sun,J'ai vu le soleil chaud,Ich sah die heiße Sonne,Ho visto il sole caldo,Ik zag de hete zon,Я увидел жаркое солнце,Tôi đã thấy mặt trời chói chang,我看見了烈太阳,I saw the,J'ai vu le,Ich sah die,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy mặt trời chói chang,我看見了
round,ronde,runden,rotondo,ronde,круглый,tròn,圆,table,table,Tisch,tavolo,tafel,стол,bàn,桌,round table,table ronde,runden Tisch,tavolo rotondo,ronde tafel,круглый стол,bàn tròn,圆桌,I saw the round table,J'ai vu la table ronde,Ich sah den runden Tisch,Ho visto il tavolo rotondo,Ik zag de ronde tafel,Я увидел круглый стол,Tôi đã thấy cái bàn tròn,我看見了圆桌,I saw the,J'ai vu la,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了
fluffy,duveteuse,flauschigen,soffice,pluizige,пушистый,mềm mại,蓬鬆的,tail,queue,Schwanz,coda,staart,хвост,đuôi,尾巴,fluffy tail,queue duveteuse,flauschigen Schwanz,coda soffice,pluizige staart,пушистый хвост,đuôi mềm mại,蓬鬆的尾巴,I saw the fluffy tail,J'ai vu la queue duveteuse,Ich sah den flauschigen Schwanz,Ho visto la coda soffice,Ik zag de pluizige staart,Я увидел пушистый хвост,Tôi đã thấy cái đuôi mềm mại,我看見了蓬鬆的尾巴,I saw the,J'ai vu la,Ich sah den,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了
thin,fin,dünnen,sottile,dunne,тонкую,mảnh,細,thread,fil,Faden,filo,draad,нить,sợi chỉ,線,thin thread,fil fin,dünnen Faden,filo sottile,dunne draad,тонкая нить,sợi chỉ mảnh,細線,I saw the thin thread,J'ai vu le fil fin,Ich sah den dünnen Faden,Ho visto il filo sottile,Ik zag de dunne draad,Я увидел тонкую нить,Tôi đã thấy sợi chỉ mảnh,我看見了細線,I saw the,J'ai vu le,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy,我看見了
red,rouge,rote,rossa,rode,красное,đỏ,红,throat,gorge,Kehle,gola,keel,горло,họng,喉咙,red throat,gorge rouge,rote Kehle,gola rossa,rode keel,красное горло,họng đỏ,红喉咙,I saw the red throat,J'ai vu la gorge rouge,Ich sah die rote Kehle,Ho visto la gola rossa,Ik zag de rode keel,Я увидел красное горло,Tôi đã thấy cái họng đỏ,我看見了红喉咙,I saw the,J'ai vu la,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了
beige,beige,beigen,beige,beige,бежевого,màu be,米色,thumb,pouce,Daumen,pollice,duim,большой пальца,ngón tay,拇指,beige thumb,pouce beige,beigen Daumen,pollice beige,beige duim,бежевый большой палец,ngón tay màu be,米色拇指,I saw the beige thumb,J'ai vu le pouce beige,Ich sah den beigen Daumen,Ho visto il pollice beige,Ik zag de beige duim,Я увидел бежевого большой пальца,Tôi đã thấy ngón tay màu be,我看見了米色拇指,I saw the,J'ai vu le,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy,我看見了
valid,valide,gültige,valido,geldige,действительный,hợp lệ,有效,ticket,ticket,Ticket,biglietto,ticket,билет,vé,车票,valid ticket,ticket valide,gültige Ticket,biglietto valido,geldige ticket,действительный билет,vé hợp lệ,有效车票,I saw the valid ticket,J'ai vu le ticket valide,Ich sah das gültige Ticket,Ho visto il biglietto valido,Ik zag het geldige ticket,Я увидел действительный билет,Tôi đã thấy tấm vé hợp lệ,我看見了有效车票,I saw the,J'ai vu le,Ich sah das,Ho visto il,Ik zag het,Я увидел,Tôi đã thấy tấm,我看見了
short,court,kurze,corte,korte,короткий,ngắn,短,toe,orteil,Zehe,dita,teen,палец,ngón chân,脚趾,short toe,orteil court,kurze Zehe,dita corte,korte teen,короткий палец,ngón chân ngắn,短脚趾,I saw the short toe,J'ai vu le orteil court,Ich sah die kurze Zehe,Ho visto la dita corte,Ik zag de korte teen,Я увидел короткий палец,Tôi đã thấy ngón chân ngắn,我看見了短脚趾,I saw the,J'ai vu le,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy,我看見了
wet,mouillée,feuchte,bagnata,natte,мокрый,ướt,湿,tongue,langue,Zunge,lingua,tong,язык,lưỡi,舌头,wet tongue,langue mouillée,feuchte Zunge,lingua bagnata,natte tong,мокрый язык,lưỡi ướt,湿舌头,I saw the wet tongue,J'ai vu la langue mouillée,Ich sah die feuchte Zunge,Ho visto la lingua bagnata,Ik zag de natte tong,Я увидел мокрый язык,Tôi đã thấy cái lưỡi ướt,我看見了湿舌头,I saw the,J'ai vu la,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了
white,blanche,weißen,bianco,witte,белый,trắng,白,tooth,dent,Zahn,dente,tand,зуб,răng,牙,white tooth,dent blanche,weißen Zahn,dente bianco,witte tand,белый зуб,răng trắng,白牙,I saw the white tooth,J'ai vu la dent blanche,Ich sah den weißen Zahn,Ho visto il dente bianco,Ik zag de witte tand,Я увидел белый зуб,Tôi đã thấy hàm răng trắng,我看見了白牙,I saw the,J'ai vu la,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy hàm,我看見了
industrial,industrielle,industrielle,industriale,industriële,промышленный,công nghiệp,工业,town,ville,Stadt,città,stadje,город,thị trấn,城镇,industrial town,ville industrielle,industrielle Stadt,città industriale,industriële stadje,промышленный город,thị trấn công nghiệp,工业城镇,I saw the industrial town,J'ai vu la ville industrielle,Ich sah die industrielle Stadt,Ho visto la città industriale,Ik zag het industriële stadje,Я увидел промышленный город,Tôi đã thấy thị trấn công nghiệp,我看見了工业城镇,I saw the,J'ai vu la,Ich sah die,Ho visto la,Ik zag het,Я увидел,Tôi đã thấy,我看見了
fast,rapide,schnellen,veloce,snelle,скоростной,cao tốc,高速,train,train,Zug,treno,trein,поезд,tàu,列车,fast train,train rapide,schnellen Zug,treno veloce,snelle trein,скоростной поезд,tàu cao tốc,高速列车,I saw the fast train,J'ai vu le train rapide,Ich sah den schnellen Zug,Ho visto il treno veloce,Ik zag de snelle trein,Я увидел скоростной поезд,Tôi đã thấy con tàu cao tốc,我看見了高速列车,I saw the,J'ai vu le,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy con,我看見了
metal,métallique,metallene,di,metalen,металлический,kim loại,金属,tray,plateau,Tablett,vassoio,dienblad,поднос,khay,托盘,metal tray,plateau métallique,metallene Tablett,vassoio di metallo,metalen dienblad,металлический поднос,khay kim loại,金属托盘,I saw the metal tray,J'ai vu le plateau métallique,Ich sah das metallene Tablett,Ho visto il vassoio di metallo,Ik zag het metalen dienblad,Я увидел металлический поднос,Tôi đã thấy cái khay kim loại,我看見了金属托盘,I saw the,J'ai vu le,Ich sah das,Ho visto il,Ik zag het,Я увидел,Tôi đã thấy cái,我看見了
dry,sec,trockenen,secco,droge,сухое,khô,枯,tree,arbre,Baum,albero,boom,дерево,cây,树,dry tree,arbre sec,trockenen Baum,albero secco,droge boom,сухое дерево,cây khô,枯树,I saw the dry tree,J'ai vu l'arbre sec,Ich sah den trockenen Baum,Ho visto l'albero secco,Ik zag de droge boom,Я увидел сухое дерево,Tôi đã thấy cây khô,我看見了枯树,I saw the,J'ai vu l',Ich sah den,Ho visto l',Ik zag de,Я увидел,Tôi đã thấy,我看見了
blue,bleu,blaue,blu,blauwe,синие,xanh,蓝色,trousers,pantalon,Hose,pantaloni,broek,брюки,quần,裤子,blue trousers,pantalon bleu,blaue Hose,pantaloni blu,blauwe broek,синие брюки,quần xanh,蓝色裤子,I saw the blue trousers,J'ai vu le pantalon bleu,Ich sah die blaue Hose,Ho visto i pantaloni blu,Ik zag de blauwe broek,Я увидел синие брюки,Tôi đã thấy cái quần xanh,我看見了蓝色裤子,I saw the,J'ai vu le,Ich sah die,Ho visto i,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了
folded,plié,zusammengeklappten,piegato,opgevouwen,сложенный,gấp,摺疊,umbrella,parapluie,Regenschirm,ombrello,paraplu,зонт,ô,傘,folded umbrella,parapluie plié,zusammengeklappten Regenschirm,ombrello piegato,opgevouwen paraplu,сложенный зонт,ô gấp,摺疊傘,I saw the folded umbrella,J'ai vu le parapluie plié,Ich sah den zusammengeklappten Regenschirm,Ho visto l'ombrello piegato,Ik zag de opgevouwen paraplu,Я увидел сложенный зонт,Tôi đã thấy cái ô gấp,我看見了摺疊傘,I saw the,J'ai vu le,Ich sah den,Ho visto l',Ik zag de,Я увидел,Tôi đã thấy cái,我看見了
thick,épais,dicke,spesso,dikke,толстую,dày,厚,wall,mur,Wand,muro,muur,стену,tường,牆,thick wall,mur épais,dicke Wand,muro spesso,dikke muur,толстая стена,tường dày,厚牆,I saw the thick wall,J'ai vu le mur épais,Ich sah die dicke Wand,Ho visto il muro spesso,Ik zag de dikke muur,Я увидел толстую стену,Tôi đã thấy bức tường dày,我看見了厚牆,I saw the,J'ai vu le,Ich sah die,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy bức,我看見了
expensive,coûteuse,teure,costoso,dure,дорогие,đắt tiền,昂贵的,watch,montre,Uhr,orologio,horloge,часы,đồng hồ,手表,expensive watch,montre coûteuse,teure Uhr,orologio costoso,dure horloge,дорогой часы,đồng hồ đắt tiền,昂贵的手表,I saw the expensive watch,J'ai vu la montre coûteuse,Ich sah die teure Uhr,Ho visto l'orologio costoso,Ik zag het dure horloge,Я увидел дорогие часы,Tôi đã thấy cái đồng hồ đắt tiền,我看見了昂贵的手表,I saw the,J'ai vu la,Ich sah die,Ho visto l',Ik zag het,Я увидел,Tôi đã thấy cái,我看見了
round,ronde,runde,rotonda,ronde,круглое,tròn,圓形,wheel,roue,Rad,ruota,wiel,колесо,bánh xe,輪子,round wheel,roue ronde,runde Rad,ruota rotonda,ronde wiel,круглое колесо,bánh xe tròn,圓形輪子,I saw the round wheel,J'ai vu la roue ronde,Ich sah das runde Rad,Ho visto la ruota rotonda,Ik zag het ronde wiel,Я увидел круглое колесо,Tôi đã thấy bánh xe tròn,我看見了圓形輪子,I saw the,J'ai vu la,Ich sah das,Ho visto la,Ik zag het,Я увидел,Tôi đã thấy,我看見了
